Name,Rank,Fire Department,Date of Death,Location on Memorial
Frank A. Palombo,Firefighter,New York City Fire Department,09/11/2001,  2 Bottom
"Frank A. Post, Sr.",Firefighter,Hughsonville Fire District,03/12/1959,17 Bottom
Frank Callmeyer,Firefighter,New York City Fire Department,03/03/1920,  6 Top
Frank Canga,Firefighter,Watervliet Fire Department,07/02/1967,17 Top
Frank Cizek,Firefighter,Bohemia Fire Department,04/20/1937,18 Top
Frank C. Murry,Firefighter,New York City Fire Department,03/03/1930,  4 Top
Frank C. Smith,Lieutenant,New York City Fire Department,01/14/1973,  7 Top
Frank D. Fontaino ,Firefighter ,New York City Fire Department ,12/11/2015,  3 Bottom
Frank Disarlo,Firefighter,Freeport Fire Department,01/01/1985,12 Top
Frank E. Wolf,Firefighter,New York City Fire Department,12/16/1951,14 Top
Frank Featherson,Firefighter,New York City Fire Department,01/28/1901,13 Bottom
Frank Flora,Firefighter,Syracuse Fire Department,03/04/1908,  5 Bottom
Frank Friederlein,Firefighter,New York City Fire Department,08/31/1945,  4 Bottom
Frank H. Luby,Hoseman,Albany Fire Department,09/11/1891,14 Bottom
Frank H. Yann,Firefighter,Syracuse Fire Department,07/13/1898,13 Bottom
Frank J. Bonomo,Firefighter,New York City Fire Department,09/11/2001,  2 Top
Frank J. Brennan,Lieutenant,New York City Fire Department,09/06/1973,  8 Bottom
Frank J. Callahan,Captain,New York City Fire Department,09/11/2001,  1 Top
Frank J. Caravella,Firefighter,Deer Park Fire Department,01/01/1978,  9 Top
Frank J. Kerlin,Firefighter,Syracuse Fire Department,02/03/1939,17 Top
Frank J. Molinari,Firefighter,New York City Fire Department,01/13/1946,15 Top
Frank J. Nerney,Lieutenant,Albany Fire Department,02/12/1984,12 Top
Frank J. Reid,Firefighter,Lockport Fire Department,02/13/1909,  5 Top
Frank J. Turner,Division Chief,New York City Fire Department,06/06/1962,12 Bottom
Frank J. Winklarek,Firefighter,New York City Fire Department,01/24/1945,15 Top
Frank J. Zatecky,Firefighter,New York City Fire Department,10/06/1958,13 Top
Frank Kersten,Firefighter,Wantagh Fire Department,09/04/1972,  7 Top
Frank King,Assistant Chief,East Rochester Volunteer Fire Department,04/09/1967,  1 Top
Frank L. Fitzsimmons,Firefighter,Tonawanda Fire Department,06/22/1943,21 Bottom
Frank L. Jelley,Firefighter,Smithtown Fire Department,06/03/1985,12 Top
"Frank L. Schips, Jr.",Fire Police,Port Jervis Fire Department,02/04/1992,11 Top
Frank Marciniak,Lieutenant,Amsterdam Fire Department,01/10/1980,  9 Top
Frank McMurray,Engineer,Buffalo Fire Department,10/07/1893,14 Bottom
Frank M. Hausauer,1st Assistant Chief,Wales Center Fire Department,07/01/1989,11 Top
"Frank Moorehead, Jr.",Firefighter,New York City Fire Department,12/12/1946,15 Top
Frank Murphy,Firefighter,Auburn Fire Department,02/01/1927,  5 Top
Frank P. Bertin,Lieutenant,Endicott Fire Department,11/14/1942,  2 Bottom
Frank P. Miller,Captain,Albany Fire Department,05/04/1935,19 Top
"Frank Porpiglio, Jr.",Firefighter,Syracuse Fire Department,04/09/1978,  9 Top
Frank Seeback,Captain,Wantagh Fire Department,11/18/1973,  7 Top
Frank Swerdzewski,Firefighter,Westhampton Beach Fire Department,07/07/1958,13 Top
Frank T. Tuttlemondo,Battalion Chief,New York City Fire Department,08/13/1980,  9 Top
Frank Wilkinson,Firefighter,Hutchinson Hose Fire Department,11/23/1970,  8 Bottom
Frank W. Miller,Firefighter,Dunkirk Fire Department,11/26/1904,10 Bottom
Frank W. Peckering,Lieutenant,New York City Fire Department,04/03/1963,11 Bottom
Frank W. Schmidt,Firefighter,Hewlett Fire Department,05/03/1966,  7 Top
Fred Amthor,Hoseman,Albany Fire Department,12/19/1892,14 Bottom
"Fred C. Scheffold, Jr.",Battalion Chief,New York City Fire Department,09/11/2001,18 Top
Fred D. Osterman,President,Fleming Fire Department No. 2,03/18/1954,  7 Bottom
Fred Edwards ,Firefighter ,Liberty Fire Department,05/07/2014,  3 Bottom
Frederick Carpenter,Assistant Chief,Newburgh Fire Department,05/02/1968,  9 Bottom
Frederick Fink,Firefighter,Eastchester Fire Department,01/06/1944,  5 Top
Frederick F. Kopple,Firefighter,Oneida Fire Department,07/07/1942,16 Top
Frederick Glasser,Firefighter,New York City Fire Department,01/14/1959,13 Top
Frederick Hochhauser,Firefighter,Buffalo Fire Department,05/06/1963,12 Bottom
"Frederick J. Ill, Jr.",Captain,New York City Fire Department,09/11/2001,17 Top
Frederick J. Longmore,Ladderman,Rochester Fire Department,05/04/1930,  4 Top
Frederick J. Wenzell,Firefighter,Syracuse Fire Department,04/12/1947,15 Top
Frederick L. Brain,Fire Police,Miller Place Fire Department,04/24/2000,  3 Bottom
Frederick Masserli,Firefighter,New York City Fire Department,08/02/1907,  6 Bottom
Frederick Schmitt,Hoseman,Albany Fire Department,04/25/1938,18 Top
Frederick Schultz,Firefighter,New York City Fire Department,01/03/1910,15 Bottom
Frederick Soller,Firefighter,New York City Fire Department,05/25/1999,  5 Bottom
Frederick T. Fairweather,Firefighter,Bullville Fire Department,09/23/1995,10 Top
Frederick V. Erb,Firefighter,New York City Fire Department,07/23/1934,19 Top
Frederic P. Smith    ,Chief    ,Harrisville Volunteer Fire Department                ,05/09/1972,10 Bottom
Fred Fempel,Firefighter,New York City Fire Department,01/25/1919,  6 Top
Fred Gerner,Firefighter,New York City Fire Department,08/05/1937,18 Top
Fred G. Lane,Captain,Corning Fire Department,02/11/1923,  6 Top
Fred G. Meyers,Chief,Corning Fire Department,02/14/1944,16 Top
Fred J. Hellauer,Firefighter,New York City Fire Department,04/04/1956,13 Top
Fred J. Wallen,Foreman,Albany Fire Department,07/12/1885,15 Bottom
Fred L. Cumming,Firefighter,New York City Fire Department,05/05/1955,14 Top
Fred McCellan,Firefighter,Buffalo Fire Department,01/11/1952,14 Top
Fredrick G. Brandt,Firefighter,New York City Fire Department,03/25/1922,  6 Top
Fredrick J. Trefcer,Captain,New York City Fire Department,05/17/1932,20 Top
Fredrick M. Kubera,Firefighter,New York City Fire Department,11/23/1965,11 Bottom
Fredrick Monroe,Firefighter,Bolton Landing Fire Department,02/22/1967,  9 Bottom
Fredrick Ziegler,Firefighter,New York City Fire Department,06/17/1947,15 Top
Fred Schreiber,Firefighter,Malverne Fire Department,04/18/1937,10 Bottom
Fritz Wanerka,Firefighter,Antwerp Fire Department,01/01/1979,  9 Top
Garret Pierce,Firefighter,Niagara Falls Fire Department,03/26/1923,  6 Top
Garrett W. Langdon,Firefighter,New York City Fire Department,12/06/1953,14 Top
Garrett W. Loomis    ,Assistant Chief    ,Sackets Harbor Fire Department    ,04/11/2010,  3 Bottom
Garry S. Kuehner,Lieutenant,Yonkers Fire Department,04/10/1983,12 Top
Gary G. Partridge,Firefighter,Ashland Fire Department,09/28/1982,12 Top
Gary J. Gates ,Lieutenant ,New York City Fire Department ,09/29/2015,19 Top
Gary Kennicutt,Fire Police,Greene Fire Department,04/10/1993,10 Top
Gary P. Geidel,Firefighter,New York City Fire Department,09/11/2001,17 Top
Gary R. Box,Firefighter,New York City Fire Department,09/11/2001,19 Top
Geoffrey E. Guja,Lieutenant,New York City Fire Department,09/11/2001,16 Top
George A. Alexander,Captain,Yonkers Fire Department,11/28/1966,11 Bottom
George A. Erlacher,Assistant Engineer,New York City Fire Department,02/09/1873,16 Bottom
George Amos,Captain,Buffalo Fire Department,01/24/1934,19 Top
George A. O’Conner,Firefighter,New York City Fire Department,01/10/1908,  6 Bottom
George Badger,Firefighter,New York City Fire Department,02/03/1863,17 Bottom
George Bassett,2nd Assistant Chief,Selden Fire Department,03/10/1970,  4 Top
George B. Benjamin,Firefighter,Rochester Fire Department,08/26/1840,19 Bottom
George B. Christman,Firefighter,New York City Fire Department,03/26/1906,16 Bottom
George Bell,Firefighter,New York City Fire Department,11/08/1865,17 Bottom
"George Bercier, Sr.",Firefighter,Roslyn Fire Department,10/09/1956,16 Top
George B. Nickerson,Firefighter,Pawling Fire Department,03/10/1932,10 Bottom
George Boyce,Firefighter,Bellport Fire Department,01/01/1973,  7 Top
George Brewer,Firefighter,Fulton Fire Department,02/16/1961,21 Bottom
George Brown,Protective,Albany Fire Department,06/17/1919,  6 Top
George Brown,Firefighter,Albany Fire Department,02/16/1922,10 Bottom
George B. Weill,Firefighter,New York City Fire Department,02/22/1945,15 Top
George Carbine,Firefighter,Buffalo Fire Department,09/05/1926,  5 Top
George Casselis,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
George C. Cain,Firefighter,New York City Fire Department,09/11/2001,20 Top
George C. Strauss,Captain,New York City Fire Department,02/26/1928,  4 Top
George C. Zapf,Firefighter,New York City Fire Department,10/05/1955,14 Top
George D. Eysser ,Battalion Chief ,New York City Fire Department,06/13/2015,  3 Top
George DiPasquale,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
George D. Leggio,Firefighter,East Meadow Fire Department,05/21/1952,14 Top
George D. Morton,Firefighter,Jamestown Fire Department,02/07/1927,10 Bottom
George D. Neat,Firefighter,Syracuse Fire Department,01/16/1942,16 Top
George D. Raynor,Firefighter,Westhampton Beach Fire Department,04/09/1968,  9 Bottom
George E. Klopfer,Assistant Chief,Voorheesville Fire Department,07/06/1959,  7 Bottom
George E. Meenken,Firefighter,New York City Fire Department,02/05/1977,  9 Top
George E. Walker,Firefighter,New York City Fire Department,09/26/1927,  5 Top
"George F. Farrell, II",Firefighter,New York City Fire Department,02/13/1912,  4 Bottom
George F. Long,Hoseman,Rochester Fire Department,01/08/1901,13 Bottom
George F. Mand,Deputy Commissioner,New York City Fire Department,05/03/1965,11 Bottom
George F. McGeary,Lieutenant,New York City Fire Department,03/02/1905,  2 Bottom
George F. Woods,Firefighter,Lockport Fire Department,02/01/1882,  8 Top
George Gibson,Lieutenant,New York City Fire Department,01/22/1904,  3 Bottom
George Grant,Firefighter,Point Lookout-Lido Fire Department,03/01/1980,  9 Top
"George H. Cridland, Jr.",Firefighter,New York City Fire Department,09/09/1944,16 Top
George Henderson,Firefighter,Blue Point Fire Department,01/01/1959,13 Top
George H. Gombert,Firefighter,Cambria Fire Department,12/10/1973,  7 Top
George H. Smith,Firefighter,Patchoague Fire Department,10/05/1923,  6 Top
George H. Tifft,Firefighter,Buffalo Fire Department,01/25/1865,  1 Top
George J. Karl,Past Chief,Main Transit Fire Department,08/01/1990,11 Top
George J. Major,Hoseman,Rochester Fire Department,11/01/1913,  4 Bottom
George J. Murphy,Firefighter,New York City Fire Department,07/21/1956,13 Top
George J. Scanlan,Firefighter,New York City Fire Department,01/19/1919,  6 Top
George J. Zahn,Firefighter,New York City Fire Department,10/26/1962,12 Bottom
George Kerr,Firefighter,New York City Fire Department,04/02/1848,19 Bottom
George Knapp,Firefighter,White Plains Fire Department,12/01/1911,  5 Bottom
George L. Byrne,Firefighter,New York City Fire Department,02/06/1931,21 Top
George L. Collins,Firefighter,New York City Fire Department,11/15/1968,  9 Bottom
George Lyons,Firefighter,Buffalo Fire Department,02/17/1943,16 Top
George Malarky,Firefighter,Buffalo Fire Department,08/02/1939,18 Top
George M. Bayard,Firefighter,Cornwall Fire Department,08/23/1923,  4 Top
George McDermott,Firefighter,Syracuse Fire Department,03/12/1905,  2 Bottom
George Moriarity,Firefighter,Buffalo Fire Department,10/18/1952,14 Top
George M. Williams,Firefighter,New York City Fire Department,01/11/1946,15 Top
George Nigro,Firefighter,New York City Fire Department,02/13/1945,15 Top
George N. Peartree,Hoseman,Rochester Fire Department,11/11/1907,  6 Bottom
George P. Linnermann,Firefighter,New York City Fire Department,02/18/1968,  9 Bottom
George P. Oats,Lieutenant,New York City Fire Department,03/03/1949,15 Top
"George R. Davidson, III ",Firefighter ,Youngsville Fire Department,04/25/2007,  1 Bottom
George R. Goger,Lieutenant,New York City Fire Department,10/02/1963,12 Bottom
George Roth,Firefighter,Buffalo Fire Department,03/25/1885,15 Bottom
George Sandfield,Ex-Chief ,Congers Fire Department,11/02/1987,11 Top
George Schmitt,Firefighter,New York City Fire Department,03/24/1943,16 Top
George S. Rice,Firefighter,New York City Fire Department,08/02/1978,  9 Top
George Stragar,Firefighter,Jamesville Fire Department,01/01/1974,  8 Top
George T. Hamilton    ,Firefighter    ,Cohoes Fire Department           ,04/23/1922,11 Top
George W. Buridge,Firefighter,New York City Fire Department,01/16/1864,17 Bottom
George W. Dove,Firefighter,Skaneateles Fire Department,07/12/1965,11 Top
George Weitz,Captain,Buffalo Fire Department,12/11/1932,21 Top
George Weston,Firefighter,North Babylon Fire Department,01/01/1954,14 Top
George W. Haight,Firefighter,New York City Fire Department,06/22/1884,15 Bottom
George Wilkinson,Chief,Thomas Corners Fire Department,08/12/1955,  7 Bottom
George W. Lener,Lieutenant,New York City Fire Department,07/20/1994,10 Top
George Wohl,Firefighter,Congers Fire District,12/13/2003,  7 Top
George W. Sampson,Firefighter,New York City Fire Department,01/18/1935,19 Top
George W. Trenchard,Captain,New York City Fire Department,05/31/1853,18 Bottom
Gerald A. Machajewski,Firefighter,Cambria Volunteer Fire Company,05/21/2006,21 Top
Gerald D. Crowley,Firefighter,New York City Fire Department,10/14/1979,  9 Top
Gerald E. Murray,1st Assistant Chief,Windham Hose Company #1,08/27/1994,10 Top
Gerald F. Mullins,Firefighter,Binghamton Fire Department,01/08/1994,10 Top
Gerald J. Frisby,Firefighter,New York City Fire Department,06/27/1980,  9 Top
Gerald Otto,Captain,Garden City Fire Department,03/21/1969,  7 Top
Gerald T. Atwood,Firefighter,New York City Fire Department,09/11/2001,20 Top
Gerald T. Hanley,Firefighter,New York City Fire Department,12/13/1939,17 Top
Gerard A. Barbara,Assistant Chief,New York City Fire Department,09/11/2001,21 Top
Gerard J. Duffy,Firefighter,New York City Fire Department,09/11/2001,  2 Bottom
Gerard Marcheterre,Firefighter,Borodino Fire Department,03/06/2010,10 Bottom
Gerard P. Dewan,Firefighter,New York City Fire Department,09/11/2001,  1 Bottom
Gerard P. Schrang,Firefighter,New York City Fire Department,09/11/2001,  4 Bottom
Gerard T. Baptiste,Firefighter,New York City Fire Department,09/11/2001,21 Bottom
Gerard T. Ganley,Firefighter,New York City Fire Department,07/13/1978,  9 Top
Gerard T. Nevins,Firefighter,New York City Fire Department,09/11/2001,  3 Bottom
Glenn C. Perry,Lieutenant,New York City Fire Department,09/11/2001,  6 Bottom
Glenn E. Wilkinson,Lieutenant,New York City Fire Department,09/11/2001,  2 Bottom
Glenn J. Winuk,Firefighter,Jericho Fire Department,09/11/2001,19 Bottom
Gomer W. Morgan,Firefighter,Nyack Fire Department,08/11/1926,  7 Top
Gordon M. Ambelas ,Lieutenant ,New York City Fire Department ,07/05/2014,  4 Top
Gordon O. Schmidt,Captain,Saint Paul Boulevard Fire Department,11/11/1991,11 Top
Gregg A. Atlas,Lieutenant,New York City Fire Department,09/11/2001,  3 Bottom
Gregg J. McLoughlin,Firefighter,New York City Fire Department,01/04/2001,  4 Bottom
Gregorio Morales ,Fire Marshal ,New York City Fire Department ,07/30/2016,19 Bottom
Gregory A. Chevalley ,Firefighter ,New York City Fire Department,04/24/2015,  1 Top
Gregory E. Williams,Firefighter,Holland Fire Company,11/04/1991,11 Top
Gregory G. Buck,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Gregory M. Dixon,Firefighter,Syracuse Fire Department,02/03/1939,17 Top
Gregory M. Stajk,Firefighter,New York City Fire Department,09/11/2001,  7 Bottom
Gregory R. Sikorsky,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Gregory T. Saucedo,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Gunther E. Beake,Battalion Chief,New York City Fire Department,08/23/1949,15 Top
Gustav F. Deutschmann,Past Foreman,North Tonawanda Fire Department,04/01/1929,10 Bottom
Guy R. Pollard,Firefighter,Newark Valley Fire Department,01/06/1996,10 Top
Hamilton S. White,Honorary Assistant Chief,Syracuse Fire Department,03/13/1899,13 Bottom
Harold A. Barker,Firefighter,New York City Fire Department,01/05/1941,17 Top
Harold Anderson,Firefighter,Jamestown Fire Department,06/14/1934,10 Bottom
Harold B. Sayers,Ladderman,Albany Fire Department,06/04/1922,  6 Top
"Harold Coons, Jr.",Captain,South Schodack Fire Department,08/30/2002,  5 Bottom
"Harold E. Roemer, Jr.",Firefighter,Greenlawn Fire Department,01/05/1998,10 Top
Harold F. Clandening,Lineman,New York City Fire Department,06/25/1946,15 Top
Harold F. Hastings,Firefighter,New York City Fire Department,08/02/1978,  9 Top
Harold F. Johns,Master Mechanic,Glens Falls City Fire Department,02/25/1961,14 Bottom
Harold F. Perkins,1st Assistant Chief,Pittsford Fire Department,12/27/1955,17 Top
Harold Holsten,Firefighter,New York City Fire Department,05/12/1945,16 Top
Harold J. Brazell,Firefighter,Schenectady Fire Department,02/01/1948,15 Top
Harold J. Curran,Lieutenant,New York City Fire Department,05/30/1944,16 Top
Harold J. Hoey,Firefighter,New York City Fire Department,06/13/1974,  8 Top
"Harold J. Lyons, Sr.",Deputy Coordinator ,Brookhaven Fire Department,10/30/1992,10 Top
Harold R. Nelson,Firefighter,New York City Fire Department,01/03/1970,  8 Bottom
Harold Zimmer,Firefighter,Saint Paul Boulevard Fire Department,02/03/1968,  5 Top
Harrington Brand,Firefighter,Buffalo Fire Department,08/07/1923,  6 Top
Harry B. Austin,Protective,Rochester Fire Department,10/02/1896,10 Bottom
Harry C. Wilmot,Firefighter,Niskayuna No. 2 Fire Department,04/12/1959,  6 Top
Harry E. Flynn,Firefighter,New York City Fire Department,09/13/1917,  3 Top
Harry E. Jenkins,Firefighter,Saratoga Springs Fire Department,11/30/1954,14 Top
"Harry E. Johnston, Jr.",Firefighter,Brighton Fire Department,07/22/1940,17 Top
Harry G. Boyle,Lieutenant,New York City Fire Department,08/08/1948,15 Top
Harry J. Kett,Firefighter,New York City Fire Department,03/10/1938,18 Top
"Harry J. Smith, Jr.",Firefighter,New York City Fire Department,12/16/1953,14 Top
Harry L. Davidson,Firefighter,Winona Lake Fire Department,04/30/1995,11 Bottom 
Harry L. Miniter,Lieutenant,New York City Fire Department,09/08/1968,  9 Bottom
Harry L. Webber,Assistant Chief,Beekmantown Fire Department,04/28/1965,  3 Top
Harry M. Korwatch,Lieutenant,Yonkers Fire Department,03/14/1984,12 Top
Harry M. Maloney,Lieutenant,New York City Fire Department,08/09/1948,15 Top
Harry O. Fairweather,Firefighter,Troy Fire Department,04/08/1909,  5 Bottom
Harry Payne,Driver,Tannersville Fire Department,07/11/1925,10 Bottom
Harry R. Halsey,Firefighter,Saratoga Springs Fire Department,12/13/1940,17 Top
"Harry Sauer, Sr.",Firefighter,Salisbury Mills Fire Department,03/20/1985,12 Top
Harry Schumann,Firefighter,New York City Fire Department,12/11/1928,  5 Top
Harry S. Ford,Firefighter,New York City Fire Department,06/17/2001,10 Bottom
Harry Shapiro,Fire Police,South Fallsburg Fire Department,08/11/1978,  9 Top
Harry Smith,Firefighter,Buffalo Fire Department,11/05/1960,13 Top
Harry T. McCarthy,Captain,Albany Fire Department,03/21/1944,16 Top
"Harry Wanamaker, Jr. ",Lieutenant ,New York City Fire Department ,07/20/2010,18 Bottom
Harry W. Barker,Firefighter,Jamestown Fire Department,10/21/1930,10 Bottom
Harry Wilson,Firefighter,New York City Fire Department,07/17/1920,  6 Top
Harvey L. Harrell,Lieutenant,New York City Fire Department,09/11/2001,12 Bottom
Harvey Wales,Firefighter,Niagara Falls Fire Department,11/29/1906,  1 Bottom
H. Clair Brainard,Firefighter,Binghamton Fire Department,03/25/1925,10 Bottom
"Hector L. Tirado, Jr.",Firefighter,New York City Fire Department,09/11/2001,11 Bottom
Hector McClune,Firefighter,Millerton Fire Department,11/26/2006,21 Bottom
Henry A. Hoderlein,Firefighter,Rochester Fire Department,02/24/1943,16 Top
"Henry A. Miller, Jr.",Firefighter,New York City Fire Department,09/11/2001,10 Bottom
Henry B. Innes,Firefighter,New York City Fire Department,05/18/1945,16 Top
Henry C. Foster,Firefighter,New York City Fire Department,12/23/1939,18 Top
Henry Clay,Firefighter,Tully Fire Department,01/01/1974,  8 Top
Henry C. Mount,Firefighter,New York City Fire Department,12/09/1879,16 Bottom
Henry C. Northrip,Firefighter,Coldenham Fire Department,08/21/1982,10 Bottom
Henry Devitt,Lieutenant,Buffalo Fire Department,11/01/1901,13 Bottom
Henry F. Baker,Firefighter,New York City Fire Department,02/27/1907,  6 Bottom
Henry F. Fargis,Firefighter,New York City Fire Department,04/02/1848,19 Bottom
Henry Fields,Firefighter,Bay Shore Fire Department,01/01/1968,  9 Bottom
Henry Forscheler,Firefighter,Rochester Fire Department,05/05/1867,17 Bottom
Henry Goodbrodt,Firefighter,Niagara Falls Fire Department,08/06/1948,15 Top
Henry Hanson,Firefighter,New York City Fire Department,12/14/1908,  6 Bottom
Henry H. Mitchell,Firefighter,New York City Fire Department,08/31/1972,  7 Top
"Henry Hoffman, Jr.",Lieutenant,Buffalo Fire Department,11/08/1972,  7 Top
Henry Holster,Firefighter,New York City Fire Department,04/24/1927,  5 Top
Henry J. Helmken,Firefighter,New York City Fire Department,10/13/1918,  2 Top
Henry J. Hinton,Lieutenant,New York City Fire Department,02/22/1974,  8 Bottom
Henry J. Hoehn,Firefighter,New York City Fire Department,02/27/1930,  4 Top
Henry J. Holborn,Firefighter,Rochester Fire Department,01/15/1940,17 Top
Henry J. Kaiser,Firefighter,New York City Fire Department,04/06/1912,  4 Bottom
Henry M. Jackson,Firefighter,Buffalo Fire Department,01/28/1854,17 Top
Henry Oltmann,Firefighter,New York City Fire Department,08/08/1918,  2 Top
Henry P. O’Bryan,Firefighter,Troy Fire Department,04/29/1913,  4 Bottom
Henry P. Rienhardt,Firefighter,New York City Fire Department,03/25/1922,  6 Top
Henry Tomasewski,Firefighter,Westhampton Beach Fire Department,07/11/1952,14 Top
Henry V. Delaney,Firefighter,Ballston Spa Fire Department,03/13/1974,  8 Top
Henry W. Brick,Firefighter,Angola Fire Department,12/27/1929,  4 Top
Henry W. Dodge,Firefighter,Hutchinson Hose Company,01/15/1894,20 Bottom
Henry Wick,Firefighter,Buffalo Fire Department,12/19/1915,  3 Top
Herbert Allgeier,Firefighter,South Wilson Fire Company,11/14/1973,  7 Top
Herbert F. Clark,Firefighter,Catskill Fire Department,07/31/1960,  7 Bottom
Herman F. Rhodey,Firefighter,Lockport Fire Department,01/26/1903,  8 Top
Herman G. Berny,Lieutenant,New York City Fire Department,11/10/1972,  7 Top
Herman Stanton,Firefighter,New York City Fire Department,02/06/1945,15 Top
"Hiram T. Manning, II",Firefighter,Unionville Fire Department,08/08/1952,21 Top
Hobart A. Abbey,Firefighter,Forest View/Gang Mills Fire Department,06/23/1972,  7 Top
Homer G. Mead,Firefighter,Johnson City Fire Department,01/08/1974,  8 Top
Howard A. Dailey,Captain,Amityville Fire Department,06/20/1971,  7 Top
Howard Crowell,Firefighter,Cicero Fire Department,01/01/1978,  9 Top
Howard E. Scroger,Fire Police,Alabama Fire Department,11/18/1987,11 Top
Howard E. Wynn,Firefighter,New York City Fire Department,11/29/1947,15 Top
Howard Garrison,Firefighter,Centerville Fire Company,04/19/1988,11 Top
Howard J. Bischoff ,Lieutenant ,New York City Fire Department ,09/22/2014,  2 Bottom
"Howard J. Carpluk, Jr.",Lieutenant,New York City Fire Department,08/27/2006,  1 Top
Howard L. Hendrix,Firefighter,Ilion Fire Department,12/27/1967,  7 Top
"Howard Mayforth, Sr.",Firefighter,Hillcrest Fire Department,06/05/1976,  8 Top
Howard R. Schmitt,Battalion Chief,Albany Fire Department,08/15/1993,10 Top
Howard V. Colbert,Firefighter,New York City Fire Department,07/09/1944,16 Top
Hubert J. Ingersoll,Firefighter,Pulaski Fire Department,07/30/1947,15 Top
Hugh F. Arragoni,Firefighter,New York City Fire Department,04/27/1904,  3 Bottom
Hugh F. O’Neill,Firefighter,Lakeview Fire Department,01/01/1974,  8 Top
Hugh Fox,Firefighter,New York City Fire Department,11/23/1896,14 Bottom
Hugh Gallagher,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
Hugh McGowen,Firefighter,New York City Fire Department,01/04/1891,14 Bottom
Hugh T. Gibson,Foreman,Syracuse Fire Department,08/28/1841,20 Bottom
Ignatius F. Neusch,Firefighter,New York City Fire Department,04/03/1916,  3 Top
Ignatius V. Bell,Firefighter,New York City Fire Department,01/08/1960,12 Bottom
Ingrid Sowle,Firefighter,Port Washington Fire Department,02/19/1990,11 Top
Ira L. Foote,Firefighter,Rochester Fire Department,06/29/1944,16 Top
Irving W. Dwyer,Lieutenant,Auburn City Fire Department,12/21/1931,10 Bottom
Irvin R. Saltsman,Firefighter,Avoca Hose Company No. 1,01/01/1980,  9 Top
Isaac L. Ransom,Lieutenant,East Clinton Fire Department,02/13/1946,13 Bottom
Issac Monroe,Firefighter,Utica Fire Department,09/28/1897,14 Bottom
Ivan R. Delameter,Firefighter,Margaretville Fire Department,09/02/1961,12 Bottom
Jack Fink,Firefighter,Bellerose Terrace Fire Department,04/08/1963,10 Top
Jack H. Rose ,Captain ,Mt. Marion Fire Department,12/19/2015,  5 Top
Jack Miller,Firefighter,Dundee Fire Department,01/01/1986,12 Top
Jack Ward,Firefighter,Cornwall Fire Department,01/01/1979,  9 Top
Jacob Bassman,Firefighter,New York City Fire Department,11/29/1947,15 Top
Jacob Edler,Firefighter,New York City Fire Department,03/18/1871,16 Bottom
Jacob Gallagher,Firefighter,Buffalo Fire Department,08/12/1924,  6 Top
Jacob G. Guilde,Firefighter,New York City Fire Department,10/26/1928,  5 Top
Jacob Steiger,Firefighter,New York City Fire Department,05/06/1897,14 Bottom
Jacob Steigler,Firefighter,New York City Fire Department,09/08/1872,18 Bottom
Jacques W. Paultre ,Firefighter ,New York City Fire Department ,06/24/2008,20 Bottom
Jake M. Hoeffner,Captain/Juniors,Yaphank Fire Department,05/31/1998,10 Top
Jamel M. Sears,Firefighter,New York City Fire Department,11/11/2008,11 Top
James A. Dingee,Firefighter,New York City Fire Department,08/23/1943,16 Top
James A. Giberson,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
James A. Hagan,Firefighter,New York City Fire Department,03/24/1939,  8 Bottom
James A. Hagen,Captain,New York City Fire Department,11/03/1911,  5 Bottom
James A. Kane,Firefighter,Yonkers Fire Department,01/31/1943,16 Top
James A. O’Brien,Lieutenant,New York City Fire Department,04/19/1930,  4 Top
James A. Pinto,Firefighter,New York City Fire Department,01/20/1961,12 Bottom
James A. Rogers,Firefighter,New York City Fire Department,09/02/1963,11 Bottom
James A. Walsh,Captain,New York City Fire Department,02/15/1956, 9 Bottom
James Brennan,Firefighter,New York City Fire Department,02/28/1920,  6 Top
James Burgess,Captain,New Rochelle Fire Department,01/19/1963,  7 Bottom
James B. Williams,Firefighter,New York City Fire Department,01/05/1996,10 Top
James Byers,Firefighter,Buffalo Fire Department,11/07/1928,  5 Top
James Byrne,Battalion Chief,New York City Fire Department,11/23/1954,14 Top
James Casey,Firefighter,New York City Fire Department,01/06/1918,  2 Top
James C. Farley,Firefighter,New York City Fire Department,12/16/1947,15 Top
James C. Kearney,Firefighter,New York City Fire Department,08/28/1967,  9 Bottom
James C. Lickfield,Firefighter,Buffalo Fire Department,12/27/1983,12 Top
James Costello,Firefighter,New York City Fire Department,10/13/1945,16 Top
James Coveney,Firefighter,Lindenhurst Fire Department,01/01/1982,  8 Bottom
James C. Riches,Firefighter,New York City Fire Department,09/11/2001,20 Bottom
James Curtin,Battalion Chief,Buffalo Fire Department,04/05/1956,13 Top
James Davis,Firefighter,Port Washington Fire Department,08/19/1892,17 Bottom
James Dawe,Firefighter,New York City Fire Department,11/29/1902,13 Bottom
James Devlin,Firefighter,Elmont Fire Department,07/24/1981,12 Top
James Diamond,Firefighter,Syracuse Fire Department,02/03/1939,17 Top
